Date,Value
2017-08-31,4.392
2017-07-31,4.398
2017-06-30,4.414
2017-05-31,4.432
2017-04-30,4.45
2017-03-31,4.452
2017-02-28,4.454
2017-01-31,4.464
2016-12-31,4.486
2016-11-30,4.508
2016-10-31,4.52
2016-09-30,4.534
2016-08-31,4.56
2016-07-31,4.596
2016-06-30,4.636
2016-05-31,4.658
2016-04-30,4.676
2016-03-31,4.684
2016-02-29,4.688
2016-01-31,4.704
2015-12-31,4.724
2015-11-30,4.732
2015-10-31,4.698
2015-09-30,4.662
2015-08-31,4.622
2015-07-31,4.588
2015-06-30,4.532
2015-05-31,4.456
2015-04-30,4.376
2015-03-31,4.306
2015-02-28,4.25
2015-01-31,4.202
2014-12-31,4.16
2014-11-30,4.12
2014-10-31,4.078
2014-09-30,4.04
2014-08-31,3.98
2014-07-31,3.934
2014-06-30,3.89
2014-05-31,3.89
2014-04-30,3.896
2014-03-31,3.922
2014-02-28,3.94
2014-01-31,3.94
2013-12-31,3.92
2013-11-30,3.884
2013-10-31,3.838
2013-09-30,3.788
2013-08-31,3.732
2013-07-31,3.684
2013-06-30,3.64
2013-05-31,3.586
2013-04-30,3.538
2013-03-31,3.496
2013-02-28,3.44
2013-01-31,3.362
2012-12-31,3.29
2012-11-30,3.27
2012-10-31,3.284
2012-09-30,3.312
2012-08-31,3.328
2012-07-31,3.322
2012-06-30,3.31
2012-05-31,3.294
2012-04-30,3.272
2012-03-31,3.238
2012-02-29,3.208
2012-01-31,3.198
2011-12-31,3.194
2011-11-30,3.176
2011-10-31,3.136
2011-09-30,3.104
2011-08-31,3.088
2011-07-31,3.092
2011-06-30,3.114
2011-05-31,3.132
2011-04-30,3.146
2011-03-31,3.158
2011-02-28,3.174
2011-01-31,3.18
2010-12-31,3.178
2010-11-30,3.158
